"Player","Runs","Mins","BF","4s","6s","SR","Inns","","Opposition","Ground","Start Date",""
"A Mishra (India)","5","15","13","1","0","38.46","2","","v West Indies","Kochi","8 Oct 2014",""
"Umar Akmal (Pak)","5","11","9","0","0","55.55","1","","v Australia","Dubai (DSC)","10 Oct 2014",""
"PJ Hughes (Aus)","5","25","14","0","0","35.71","1","","v Pakistan","Abu Dhabi","12 Oct 2014",""
"MA Starc (Aus)","5","16","7","0","0","71.42","1","","v Pakistan","Abu Dhabi","12 Oct 2014",""
"MJ Guptill (NZ)","5","42","29","0","0","17.24","1","","v South Africa","Mount Maunganui","21 Oct 2014",""
"TG Southee (NZ)","5","6","5","1","0","100.00","2","","v South Africa","Mount Maunganui","24 Oct 2014",""
"S Prasanna (SL)","5","17","13","0","0","38.46","2","","v India","Cuttack","2 Nov 2014",""
"S Randiv (SL)","5","10","8","1","0","62.50","2","","v India","Cuttack","2 Nov 2014",""
"LD Chandimal (SL)","5","41","31","0","0","16.12","1","","v India","Ranchi","16 Nov 2014",""
"Tamim Iqbal (Ban)","5","17","15","1","0","33.33","1","","v Zimbabwe","Chittagong","21 Nov 2014",""
"DA Miller (SA)","5","22","12","0","0","41.66","1","","v Australia","Sydney","23 Nov 2014",""
"Anamul Haque (Ban)","5","16","12","1","0","41.66","1","","v Zimbabwe","Dhaka","28 Nov 2014",""
"Imrul Kayes (Ban)","5","34","18","0","0","27.77","1","","v Zimbabwe","Dhaka","28 Nov 2014",""
"Rohan Mustafa (UAE)","5","-","7","1","0","71.42","1","","v Afghanistan","Dubai (CA)","4 Dec 2014",""
"Asad Shafiq (Pak)","5","27","17","0","0","29.41","2","","v New Zealand","Dubai (DSC)","8 Dec 2014",""
"EJG Morgan (Eng)","5","9","5","1","0","100.00","2","","v Sri Lanka","Pallekele","10 Dec 2014",""
"DPMD Jayawardene (SL)","5","16","15","1","0","33.33","1","","v England","Pallekele","13 Dec 2014",""
"RD Berrington (Scot)","5","-","13","0","0","38.46","1","","v Afghanistan","Dubai (CA)","8 Jan 2015",""
"FDM Karunaratne (SL)","5","17","8","0","0","62.50","1","","v New Zealand","Christchurch","11 Jan 2015",""
"HJW Gardiner (Scot)","5","-","11","0","0","45.45","1","","v Ireland","Dubai (DSC)","12 Jan 2015",""
"EC Joyce (Ire)","5","-","6","1","0","83.33","2","","v Scotland","Dubai (DSC)","12 Jan 2015",""
"CS MacLeod (Scot)","5","-","21","0","0","23.80","1","","v Afghanistan","Abu Dhabi","14 Jan 2015",""
"TWM Latham (NZ)","5","24","15","0","0","33.33","1","","v Sri Lanka","Hamilton","15 Jan 2015",""
"CJ Anderson (NZ)","5","25","14","0","0","35.71","1","","v Sri Lanka","Hamilton","15 Jan 2015",""
"JE Root (Eng)","5","15","15","1","0","33.33","1","","v Australia","Sydney","16 Jan 2015",""
"CA Young (Ire)","5","-","8","1","0","62.50","2","","v Afghanistan","Dubai (DSC)","17 Jan 2015",""
"GJ Bailey (Aus)","5","12","11","0","0","45.45","2","","v India","Melbourne","18 Jan 2015",""
"FDM Karunaratne (SL)","5","19","16","0","0","31.25","1","","v New Zealand","Nelson","20 Jan 2015",""
"NLTC Perera (SL)","5","15","6","0","0","83.33","1","","v New Zealand","Nelson","20 Jan 2015",""
"B Kumar (India)","5","6","5","0","0","100.00","1","","v England","Brisbane","20 Jan 2015",""
"DR Smith (WI)","5","6","7","1","0","71.42","1","","v South Africa","East London","21 Jan 2015",""
"JWA Taylor (Eng)","5","19","14","0","0","35.71","1","","v Australia","Hobart","23 Jan 2015",""
"JL Carter (WI)","5","22","13","1","0","38.46","2","","v South Africa","Port Elizabeth","25 Jan 2015",""
"LD Chandimal (SL)","5","24","15","0","0","33.33","1","","v New Zealand","Wellington","29 Jan 2015",""
"RA Jadeja (India)","5","18","9","0","0","55.55","1","","v England","Perth","30 Jan 2015",""
"Sarfraz Ahmed (Pak)","5","14","12","0","0","41.66","1","","v New Zealand","Wellington","31 Jan 2015",""
"SPD Smith (Aus)","5","14","9","1","0","55.55","1","","v England","Melbourne","14 Feb 2015",""
"JE Root (Eng)","5","20","12","0","0","41.66","2","","v Australia","Melbourne","14 Feb 2015",""
"Sikandar Raza (Zim)","5","27","13","1","0","38.46","2","","v South Africa","Hamilton","15 Feb 2015",""
"Tanwir Afzal (HK)","4*","-","9","0","0","44.44","1","","v Afghanistan","Kuala Lumpur","1 May 2014",""
"RAS Lakmal (SL)","4*","4","5","0","0","80.00","2","","v England","The Oval","22 May 2014",""
"HF Gurney (Eng)","4*","4","4","1","0","100.00","2","","v Sri Lanka","Chester-le-Street","25 May 2014",""
"BAW Mendis (SL)","4*","3","1","1","0","400.00","1","","v England","Lord's","31 May 2014",""
"MM Sharma (India)","4*","20","10","0","0","40.00","1","","v Bangladesh","Dhaka","17 Jun 2014",""
"DA Miller (SA)","4*","8","4","0","0","100.00","1","","v Sri Lanka","Hambantota","12 Jul 2014",""
"DW Steyn (SA)","4*","2","3","1","0","133.33","2","","v Australia","Perth","16 Nov 2014",""
"CR Woakes (Eng)","4*","15","9","0","0","44.44","2","","v India","Perth","30 Jan 2015",""
"Mohammed Shami (India)","4*","5","5","1","0","80.00","1","","v South Africa","Melbourne","22 Feb 2015",""
"PR Stirling (Ire)","4","-","8","1","0","50.00","1","","v West Indies","Kingston","23 Feb 2014",""
"Shahid Afridi (Pak)","4","11","7","0","0","57.14","2","","v Sri Lanka","Fatullah","25 Feb 2014",""
"Mirwais Ashraf (Afg)","4","11","12","0","0","33.33","2","","v Pakistan","Fatullah","27 Feb 2014",""
"KD Karthik (India)","4","2","3","1","0","133.33","1","","v Sri Lanka","Fatullah","28 Feb 2014",""
"Umar Akmal (Pak)","4","17","17","0","0","23.52","2","","v India","Dhaka","2 Mar 2014",""
"SP Narine (WI)","4","3","5","1","0","80.00","1","","v England","North Sound","2 Mar 2014",""
"BA Stokes (Eng)","4","20","9","0","0","44.44","2","","v West Indies","North Sound","2 Mar 2014",""
"Nawroz Mangal (Afg)","4","15","13","0","0","30.76","2","","v Sri Lanka","Dhaka","3 Mar 2014",""
"Misbah-ul-Haq (Pak)","4","4","4","1","0","100.00","2","","v Bangladesh","Dhaka","4 Mar 2014",""
"Mushfiqur Rahim (Ban)","4","10","6","0","0","66.66","1","","v Sri Lanka","Dhaka","6 Mar 2014",""
"PR Stirling (Ire)","4","-","6","1","0","66.66","2","","v Sri Lanka","Dublin","6 May 2014",""
"JC Buttler (Eng)","4","10","6","1","0","66.66","2","","v Sri Lanka","Chester-le-Street","25 May 2014",""
"JC Tredwell (Eng)","4","11","14","0","0","28.57","2","","v Sri Lanka","Chester-le-Street","25 May 2014",""
"A Mishra (India)","4","27","16","0","0","25.00","1","","v Bangladesh","Dhaka","17 Jun 2014",""
"Tamim Iqbal (Ban)","4","1","2","1","0","200.00","2","","v India","Dhaka","17 Jun 2014",""
"Shakib Al Hasan (Ban)","4","16","8","1","0","50.00","2","","v India","Dhaka","17 Jun 2014",""
"Q de Kock (SA)","4","9","6","1","0","66.66","2","","v Sri Lanka","Pallekele","9 Jul 2014",""
"DA Miller (SA)","4","8","8","1","0","50.00","2","","v Sri Lanka","Pallekele","9 Jul 2014",""
"JH Kallis (SA)","4","17","10","0","0","40.00","1","","v Sri Lanka","Hambantota","12 Jul 2014",""
"V Sibanda (Zim)","4","14","14","0","0","28.57","2","","v Afghanistan","Bulawayo","18 Jul 2014",""
"Mirwais Ashraf (Afg)","4","12","8","0","0","50.00","1","","v Zimbabwe","Bulawayo","24 Jul 2014",""
"R McLaren (SA)","4","30","12","0","0","33.33","1","","v Zimbabwe","Bulawayo","19 Aug 2014",""
"H Masakadza (Zim)","4","1","3","1","0","133.33","1","","v South Africa","Bulawayo","21 Aug 2014",""
"Shamsur Rahman (Ban)","4","12","8","1","0","50.00","2","","v West Indies","St George's","22 Aug 2014",""
"JE Root (Eng)","4","11","4","1","0","100.00","2","","v India","Cardiff","27 Aug 2014",""
"SC Williams (Zim)","4","8","5","1","0","80.00","2","","v Australia","Harare","31 Aug 2014",""
"J Nyumbu (Zim)","4","9","7","0","0","57.14","2","","v South Africa","Harare","4 Sep 2014",""
"AD Hales (Eng)","4","14","9","0","0","44.44","1","","v India","Leeds","5 Sep 2014",""
"JH Davey (Scot)","4","-","11","0","0","36.36","1","","v Ireland","Dublin","8 Sep 2014",""
"MH Cross (Scot)","4","-","3","1","0","133.33","1","","v Ireland","Dublin","10 Sep 2014",""
"CS MacLeod (Scot)","4","-","3","1","0","133.33","1","","v Ireland","Dublin","10 Sep 2014",""
"Ahmed Shehzad (Pak)","4","11","10","0","0","40.00","2","","v Australia","Sharjah","7 Oct 2014",""
"AD Russell (WI)","4","8","6","0","0","66.66","2","","v India","Delhi","11 Oct 2014",""
"DPMD Jayawardene (SL)","4","-","11","0","0","36.36","1","","v India","Ahmedabad","6 Nov 2014",""
"Tanwir Afzal (HK)","4","-","7","0","0","57.14","1","","v P.N.G.","Townsville","8 Nov 2014",""
"MDKJ Perera (SL)","4","-","6","1","0","66.66","1","","v India","Hyderabad (Deccan)","9 Nov 2014",""
"BAW Mendis (SL)","4","21","12","0","0","33.33","2","","v India","Kolkata","13 Nov 2014",""
"Q de Kock (SA)","4","8","8","1","0","50.00","2","","v Australia","Perth","16 Nov 2014",""
"N Dickwella (SL)","4","20","10","0","0","40.00","1","","v India","Ranchi","16 Nov 2014",""
"DA Warner (Aus)","4","14","8","0","0","50.00","2","","v South Africa","Melbourne","21 Nov 2014",""
"J Nyumbu (Zim)","4","18","9","0","0","44.44","2","","v Bangladesh","Chittagong","21 Nov 2014",""
"GJ Bailey (Aus)","4","17","7","0","0","57.14","2","","v South Africa","Sydney","23 Nov 2014",""
"T Kamungozi (Zim)","4","11","9","1","0","44.44","2","","v Bangladesh","Dhaka","26 Nov 2014",""
"NLTC Perera (SL)","4","13","6","0","0","66.66","1","","v England","Colombo (RPS)","26 Nov 2014",""
"Sabbir Rahman (Ban)","4","9","10","1","0","40.00","1","","v Zimbabwe","Dhaka","28 Nov 2014",""
"E Chigumbura (Zim)","4","19","14","0","0","28.57","2","","v Bangladesh","Dhaka","28 Nov 2014",""
"Younis Khan (Pak)","4","25","14","0","0","28.57","2","","v New Zealand","Dubai (DSC)","8 Dec 2014",""
"MM Ali (Eng)","4","4","4","1","0","100.00","2","","v Sri Lanka","Pallekele","10 Dec 2014",""
"CJ Jordan (Eng)","4","7","6","1","0","66.66","2","","v Sri Lanka","Pallekele","13 Dec 2014",""
"EJG Morgan (Eng)","4","25","14","0","0","28.57","2","","v Sri Lanka","Colombo (RPS)","16 Dec 2014",""
"KC Sangakkara (SL)","4","16","15","1","0","26.66","1","","v New Zealand","Christchurch","11 Jan 2015",""
"VD Philander (SA)","4","3","8","0","0","50.00","1","","v West Indies","Durban","16 Jan 2015",""
"DJG Sammy (WI)","4","9","8","0","0","50.00","2","","v South Africa","Durban","16 Jan 2015",""
"JF Mooney (Ire)","4","-","6","0","0","66.66","2","","v Afghanistan","Dubai (DSC)","17 Jan 2015",""
"AR Cusack (Ire)","4","-","11","0","0","36.36","2","","v Afghanistan","Dubai (DSC)","17 Jan 2015",""
"KMDN Kulasekara (SL)","4","14","7","0","0","57.14","1","","v New Zealand","Nelson","20 Jan 2015",""
"V Kohli (India)","4","13","8","0","0","50.00","1","","v England","Brisbane","20 Jan 2015",""
"CR Brathwaite (WI)","4","22","10","0","0","40.00","1","","v South Africa","East London","21 Jan 2015",""
"MC Henriques (Aus)","4","7","11","0","0","36.36","2","","v England","Hobart","23 Jan 2015",""
"RR Rossouw (SA)","4","10","3","1","0","133.33","1","","v West Indies","Port Elizabeth","25 Jan 2015",""
"F du Plessis (SA)","4","17","11","1","0","36.36","1","","v West Indies","Port Elizabeth","25 Jan 2015",""
"Q de Kock (SA)","4","6","7","1","0","57.14","1","","v West Indies","Centurion","28 Jan 2015",""
"RS Bopara (Eng)","4","8","6","0","0","66.66","2","","v India","Perth","30 Jan 2015",""
"JWA Taylor (Eng)","4","20","18","0","0","22.22","2","","v Australia","Perth","1 Feb 2015",""
"Umar Akmal (Pak)","4","8","2","1","0","200.00","2","","v New Zealand","Napier","3 Feb 2015",""
"BMAJ Mendis (SL)","4","5","4","1","0","100.00","2","","v New Zealand","Christchurch","14 Feb 2015",""
"T Panyangara (Zim)","4","3","4","1","0","100.00","2","","v South Africa","Hamilton","15 Feb 2015",""
"Wahab Riaz (Pak)","4","2","2","1","0","200.00","2","","v India","Adelaide","15 Feb 2015",""
"RML Taylor (Scot)","4","6","6","0","0","66.66","1","","v New Zealand","Dunedin","17 Feb 2015",""
"Rohan Mustafa (UAE)","4","10","6","0","0","66.66","1","","v Zimbabwe","Nelson","19 Feb 2015",""
"SCJ Broad (Eng)","4","10","10","0","0","40.00","1","","v New Zealand","Wellington","20 Feb 2015",""
"CH Gayle (WI)","4","21","14","0","0","28.57","1","","v Pakistan","Christchurch","21 Feb 2015",""
"Dawlat Zadran (Afg)","4","5","5","1","0","80.00","1","","v Sri Lanka","Dunedin","22 Feb 2015",""
"Sohag Gazi (Ban)","3*","9","4","0","0","75.00","1","","v India","Fatullah","26 Feb 2014",""
"Sharafuddin Ashraf (Afg)","3*","24","5","0","0","60.00","1","","v Zimbabwe","Bulawayo","24 Jul 2014",""
"SP Narine (WI)","3*","10","5","0","0","60.00","2","","v Bangladesh","St George's","20 Aug 2014",""
"KMDN Kulasekara (SL)","3*","10","3","0","0","100.00","1","","v Pakistan","Hambantota","23 Aug 2014",""
"DJ Bravo (WI)","3*","11","6","0","0","50.00","1","","v Bangladesh","Basseterre","25 Aug 2014",""
"AM Phangiso (SA)","3*","19","9","0","0","33.33","2","","v Australia","Harare","2 Sep 2014",""
"Nadeem Ahmed (HK)","3*","-","3","0","0","100.00","1","","v P.N.G.","Townsville","8 Nov 2014",""
"CR Amini (PNG)","3*","-","3","0","0","100.00","2","","v Hong Kong","Townsville","9 Nov 2014",""
"WD Parnell (SA)","3*","7","3","0","0","100.00","1","","v Australia","Melbourne","21 Nov 2014",""
"N Madziva (Zim)","3*","16","4","0","0","75.00","2","","v Bangladesh","Dhaka","28 Nov 2014",""
"Dawlat Zadran (Afg)","3*","-","5","0","0","60.00","1","","v U.A.E.","Dubai (CA)","30 Nov 2014",""
"E Chigumbura (Zim)","3*","22","4","0","0","75.00","1","","v Bangladesh","Dhaka","1 Dec 2014",""
"SMSM Senanayake (SL)","3*","10","4","0","0","75.00","2","","v New Zealand","Dunedin","23 Jan 2015",""
"V Kohli (India)","3*","8","9","0","0","33.33","1","","v Australia","Sydney","26 Jan 2015",""
"SCJ Broad (Eng)","3*","7","6","0","0","50.00","2","","v India","Perth","30 Jan 2015",""
"Mohammed Shami (India)","3*","2","3","0","0","100.00","1","","v Pakistan","Adelaide","15 Feb 2015",""
"AD Poynter (Ire)","3","-","13","0","0","23.07","1","","v West Indies","Kingston","23 Feb 2014",""
"DJG Sammy (WI)","3","28","13","0","0","23.07","1","","v England","North Sound","2 Mar 2014",""
"Mohammad Hafeez (Pak)","3","19","13","0","0","23.07","1","","v Sri Lanka","Dhaka","8 Mar 2014",""
"Nadeem Ahmed (HK)","3","-","6","0","0","50.00","1","","v Afghanistan","Kuala Lumpur","1 May 2014",""
"Hashmatullah Shaidi (Afg)","3","-","7","0","0","42.85","1","","v U.A.E.","Kuala Lumpur","2 May 2014",""
"SMSM Senanayake (SL)","3","-","14","0","0","21.42","1","","v Ireland","Dublin","6 May 2014",""
"GC Wilson (Ire)","3","-","2","0","0","150.00","2","","v Sri Lanka","Dublin","6 May 2014",""
"RS Bopara (Eng)","3","14","4","0","0","75.00","1","","v Scotland","Aberdeen","9 May 2014",""
"EJG Morgan (Eng)","3","3","3","0","0","100.00","1","","v Sri Lanka","The Oval","22 May 2014",""
"RS Bopara (Eng)","3","7","6","0","0","50.00","1","","v Sri Lanka","The Oval","22 May 2014",""
"STR Binny (India)","3","29","8","0","0","37.50","1","","v Bangladesh","Dhaka","17 Jun 2014",""
"AM Rahane (India)","3","25","18","0","0","16.66","1","","v Bangladesh","Dhaka","19 Jun 2014",""
"R McLaren (SA)","3","18","17","0","0","17.64","2","","v Sri Lanka","Pallekele","9 Jul 2014",""
"Shafiqullah (Afg)","3","9","10","0","0","30.00","2","","v Zimbabwe","Bulawayo","22 Jul 2014",""
"Mashrafe Mortaza (Ban)","3","7","5","0","0","60.00","1","","v West Indies","St George's","20 Aug 2014",""
"CH Gayle (WI)","3","19","18","0","0","16.66","2","","v Bangladesh","St George's","20 Aug 2014",""
"Younis Khan (Pak)","3","14","7","0","0","42.85","2","","v Sri Lanka","Hambantota","23 Aug 2014",""
"SMA Priyanjan (SL)","3","9","7","0","0","42.85","1","","v Pakistan","Hambantota","26 Aug 2014",""
"BV Vitori (Zim)","3","8","5","0","0","60.00","2","","v South Africa","Harare","29 Aug 2014",""
"MA Starc (Aus)","3","4","5","0","0","60.00","1","","v Zimbabwe","Harare","31 Aug 2014",""
"DT Tiripano (Zim)","3","19","12","0","0","25.00","2","","v Australia","Harare","31 Aug 2014",""
"DA Miller (SA)","3","9","5","0","0","60.00","2","","v Australia","Harare","2 Sep 2014",""
"HF Gurney (Eng)","3","10","9","0","0","33.33","1","","v India","Birmingham","2 Sep 2014",""
"SC Williams (Zim)","3","15","14","0","0","21.42","2","","v South Africa","Harare","4 Sep 2014",""
"N Madziva (Zim)","3","10","11","0","0","27.27","2","","v South Africa","Harare","4 Sep 2014",""
"PL Mommsen (Scot)","3","-","4","0","0","75.00","1","","v Ireland","Dublin","10 Sep 2014",""
"SA Abbott (Aus)","3","7","7","0","0","42.85","1","","v Pakistan","Sharjah","7 Oct 2014",""
"D Ramdin (WI)","3","25","7","0","0","42.85","2","","v India","Delhi","11 Oct 2014",""
"MG Johnson (Aus)","3","7","7","0","0","42.85","1","","v South Africa","Perth","16 Nov 2014",""
"DA Miller (SA)","3","6","6","0","0","50.00","2","","v Australia","Canberra","19 Nov 2014",""
"MS Wade (Aus)","3","9","6","0","0","50.00","2","","v South Africa","Sydney","23 Nov 2014",""
"SP Patil (UAE)","3","-","7","0","0","42.85","2","","v Afghanistan","Dubai (CA)","28 Nov 2014",""
"J Nyumbu (Zim)","3","3","6","0","0","50.00","1","","v Bangladesh","Dhaka","1 Dec 2014",""
"Amjad Ali (UAE)","3","-","12","0","0","25.00","1","","v Afghanistan","Dubai (CA)","4 Dec 2014",""
"TWM Latham (NZ)","3","11","7","0","0","42.85","2","","v Pakistan","Sharjah","12 Dec 2014",""
"Mohammad Hafeez (Pak)","3","12","11","0","0","27.27","2","","v New Zealand","Abu Dhabi","17 Dec 2014",""
"LRPL Taylor (NZ)","3","9","8","0","0","37.50","1","","v Sri Lanka","Auckland","17 Jan 2015",""
"SMA Priyanjan (SL)","2","14","9","0","0","22.22","1","","v England","Manchester","28 May 2014",""
"SL Malinga (SL)","2","7","6","0","0","33.33","1","","v England","Manchester","28 May 2014",""
"KC Sangakkara (SL)","2","8","13","0","0","15.38","2","","v England","Birmingham","3 Jun 2014",""
"Ziaur Rahman (Ban)","2","4","3","0","0","66.66","1","","v India","Dhaka","15 Jun 2014",""
"Mashrafe Mortaza (Ban)","2","7","5","0","0","40.00","2","","v India","Dhaka","17 Jun 2014",""
"MK Tiwary (India)","2","7","6","0","0","33.33","1","","v Bangladesh","Dhaka","19 Jun 2014",""
"BAW Mendis (SL)","2","7","6","0","0","33.33","1","","v South Africa","Pallekele","9 Jul 2014",""
"DPMD Jayawardene (SL)","2","12","8","0","0","25.00","2","","v South Africa","Hambantota","12 Jul 2014",""
"N Madziva (Zim)","2","7","8","0","0","25.00","2","","v South Africa","Bulawayo","17 Aug 2014",""
"AM Phangiso (SA)","2","7","3","0","0","66.66","1","","v Zimbabwe","Bulawayo","19 Aug 2014",""
"Sohag Gazi (Ban)","2","6","5","0","0","40.00","1","","v West Indies","St George's","20 Aug 2014",""
"MN Waller (Zim)","2","25","16","0","0","12.50","1","","v South Africa","Bulawayo","21 Aug 2014",""
"LM Jongwe (Zim)","2","11","14","0","0","14.28","1","","v South Africa","Bulawayo","21 Aug 2014",""
"P Utseya (Zim)","2","10","5","0","0","40.00","1","","v South Africa","Bulawayo","21 Aug 2014",""
"Sohag Gazi (Ban)","2","7","9","0","0","22.22","2","","v West Indies","St George's","22 Aug 2014",""
"Mashrafe Mortaza (Ban)","2","27","16","0","0","12.50","2","","v West Indies","St George's","22 Aug 2014",""
"JC Buttler (Eng)","2","4","9","0","0","22.22","2","","v India","Cardiff","27 Aug 2014",""
"JP Duminy (SA)","2","14","12","0","0","16.66","1","","v Zimbabwe","Harare","29 Aug 2014",""
"Shahid Afridi (Pak)","2","5","4","0","0","50.00","1","","v Sri Lanka","Dambulla","30 Aug 2014",""
"KC Sangakkara (SL)","2","12","5","0","0","40.00","2","","v Pakistan","Dambulla","30 Aug 2014",""
"JE Root (Eng)","2","7","7","0","0","28.57","1","","v India","Nottingham","30 Aug 2014",""
"BA Stokes (Eng)","2","8","7","0","0","28.57","1","","v India","Nottingham","30 Aug 2014",""
"GJ Maxwell (Aus)","2","9","6","0","0","33.33","1","","v South Africa","Harare","2 Sep 2014",""
"MG Johnson (Aus)","2","8","2","0","0","100.00","1","","v South Africa","Harare","2 Sep 2014",""
"Imran Tahir (SA)","2","4","4","0","0","50.00","2","","v Australia","Harare","2 Sep 2014",""
"ST Finn (Eng)","2","12","8","0","0","25.00","1","","v India","Birmingham","2 Sep 2014",""
"Q de Kock (SA)","2","4","4","0","0","50.00","1","","v Zimbabwe","Harare","4 Sep 2014",""
"RD Berrington (Scot)","2","-","8","0","0","25.00","1","","v Ireland","Dublin","8 Sep 2014",""
"KA Pollard (WI)","2","8","4","0","0","50.00","1","","v India","Kochi","8 Oct 2014",""
"V Kohli (India)","2","7","5","0","0","40.00","2","","v West Indies","Kochi","8 Oct 2014",""
